curve_id,rank,conductor,torsion_order,regulator,period,ls_deriv,sha_estimate
E_5001,2,447186,4,36.5025,0.1017,1.508035,0.0002626
E_5002,4,468615,2,32.6117,1.7098,0.10209,0.00133812
E_5003,3,301798,2,14.8359,8.8379,0.309655,0.04611618
E_5004,2,432255,2,15.4844,2.3047,0.219556,0.00816969
E_5005,2,337103,6,47.3053,1.2178,1.652425,0.00118164
E_5006,2,789925,6,49.3959,6.8538,0.097577,0.00037608
E_5007,2,189242,6,24.1983,4.463,1.332608,0.00682719
E_5008,3,475348,2,40.3201,7.9863,0.098504,0.00487773
E_5009,2,253956,2,37.0976,8.6283,1.575022,0.09158114
E_5010,3,684326,1,15.5686,8.4753,1.826301,0.99420943
E_5011,2,682074,1,3.8696,3.1988,0.978818,0.80913868
E_5012,4,265250,6,7.9853,5.1049,1.611038,0.02860878
E_5013,3,622820,2,42.0764,6.5364,1.415757,0.05498304
E_5014,2,362678,6,36.8295,3.2876,1.593314,0.00395077
E_5015,2,398254,6,33.5524,0.5069,1.535883,0.00064455
E_5016,2,515685,1,7.4018,5.0071,0.418682,0.28322606
E_5017,2,426160,4,32.3566,0.2269,1.004122,0.00044009
E_5018,2,146233,6,38.8355,9.5114,1.921224,0.01307047
E_5019,2,297780,4,43.1695,7.9872,0.693631,0.00802095
E_5020,2,551448,4,1.6483,2.0009,1.941269,0.14728376
E_5021,2,206311,2,34.5393,2.947,1.170492,0.0249675
E_5022,2,658697,2,1.9358,9.8301,0.928607,1.17887949
E_5023,2,501954,6,35.6368,3.7981,1.318937,0.00390471
E_5024,2,596246,1,32.1454,7.8589,1.63352,0.39936259
E_5025,2,129709,1,8.269,4.5235,0.794474,0.43461158
E_5026,3,733609,6,38.54,8.6545,0.075579,0.00047144
E_5027,2,100363,6,4.349,7.0672,1.420525,0.0641216
E_5028,2,594829,1,41.4935,0.3268,1.912772,0.01506486
E_5029,2,496456,4,13.8345,3.0145,1.253723,0.01707393
E_5030,2,565417,6,34.7537,5.6241,0.384945,0.00173041
E_5031,2,145689,4,46.2608,9.2691,0.504003,0.00631157
E_5032,2,364080,6,17.6515,1.1101,1.820404,0.00318014
E_5033,2,715362,6,25.6418,6.0515,0.036989,0.00024248
E_5034,3,275037,4,23.6928,3.0915,1.102006,0.00898704
E_5035,4,308606,4,8.723,8.9043,0.325769,0.02078374
E_5036,3,100882,1,29.9253,7.6752,0.572701,0.14688557
E_5037,2,513440,6,37.4071,3.7601,0.620893,0.00173364
E_5038,2,225865,2,45.9269,1.7543,0.446373,0.0042626
E_5039,2,748033,2,42.6893,0.2138,1.586781,0.00198676
E_5040,2,524041,6,25.9909,6.2492,0.671096,0.00448214
E_5041,2,563956,6,36.2318,4.1206,0.697515,0.00220354
E_5042,2,128885,6,40.2384,3.2161,0.911484,0.00202365
E_5043,2,795416,4,25.1809,9.8565,1.805568,0.04417183
E_5044,3,496419,2,6.656,4.7148,1.379464,0.24428699
E_5045,2,495460,2,22.4586,7.5234,0.132882,0.01112853
