curve_id,conductor,rank,torsion_order,regulator,real_period,l_derivative,sha_estimate,selmer2_dim,torsion2_dim,sha2_dim,parity_ok,sha_anomaly
E_10001,16795,2,5,5.1239,4.6537,0.135,0.142,2,0,0,True,False
E_10002,1860,2,3,0.1632,0.5907,0.67942,63.43,2,0,0,True,True
E_10003,77820,3,6,2.9417,4.0891,0.33185,0.993,3,1,-1,True,False
E_10004,55886,3,2,6.2076,1.9093,0.68946,0.233,3,1,-1,True,False
E_10005,7265,2,4,9.8137,4.3911,0.07894,0.029,2,1,-1,True,False
E_10006,83386,2,2,6.355,4.3416,0.18313,0.027,3,1,0,True,False
E_10007,38194,2,5,2.6721,4.0316,0.85718,1.989,2,0,0,True,True
E_10008,88498,2,1,6.3767,3.9523,0.23491,0.009,2,0,0,True,False
E_10009,45131,3,1,5.4459,1.5303,0.83867,0.101,4,0,1,True,False
E_10010,61263,3,4,7.8205,0.4138,0.28648,1.416,4,1,0,True,True
E_10011,17023,2,1,1.1591,2.0209,0.64645,0.276,2,0,0,True,False
E_10012,42090,2,1,7.6342,0.8759,0.69721,0.104,3,0,1,True,False
E_10013,68221,3,4,5.4585,3.4778,0.51753,0.436,3,1,-1,True,False
E_10014,65820,2,6,9.6336,1.737,0.31226,0.672,2,1,-1,True,False
E_10015,1769,2,6,3.4845,4.8783,0.22052,0.467,2,1,-1,True,False
E_10016,60735,2,4,6.363,3.2085,0.04286,0.034,5,1,2,True,False
E_10017,63955,2,5,9.3271,4.1142,0.31091,0.203,3,0,1,True,False
E_10018,65925,3,1,1.1148,0.6713,0.65663,0.877,3,0,0,True,False
E_10019,68969,3,1,9.3786,4.3115,0.93892,0.023,3,0,0,True,False
E_10020,6311,3,5,6.9101,4.6146,0.87249,0.684,4,0,1,True,False
E_10021,84104,2,6,0.7716,2.4404,0.7684,14.691,2,1,-1,True,True
E_10022,54707,3,3,3.0795,3.0352,0.79056,0.761,3,0,0,True,False
E_10023,86305,2,3,7.1109,3.8264,0.66834,0.221,2,0,0,True,False
E_10024,29693,2,3,0.7668,0.8824,0.26768,3.56,2,0,0,True,True
E_10025,72932,2,6,5.8635,2.5178,0.90812,2.214,2,1,-1,True,True
E_10026,94016,3,6,3.5242,1.9993,0.67402,3.444,6,1,2,True,True
E_10027,26658,3,5,6.2471,0.7404,0.56484,3.053,3,0,0,True,True
E_10028,85478,2,1,0.5528,1.844,0.11988,0.118,2,0,0,True,False
E_10029,19431,3,5,8.7282,0.3502,0.45258,3.702,4,0,1,True,True
E_10030,3747,2,5,9.7375,0.1388,0.46575,8.615,3,0,1,True,True
E_10031,60150,2,6,9.6919,0.6845,0.86592,4.699,2,1,-1,True,True
E_10032,66725,2,3,7.5216,4.8159,0.55118,0.137,2,0,0,True,False
E_10033,85654,2,2,1.3879,2.7522,0.3866,0.405,3,1,0,True,False
E_10034,36773,2,1,7.6068,4.8295,0.97703,0.027,2,0,0,True,False
E_10035,68435,2,6,0.3434,2.1682,0.11961,5.783,4,1,1,True,True
E_10036,57886,2,3,0.319,1.566,0.42832,7.717,2,0,0,True,True
E_10037,67803,2,2,3.3037,2.5356,0.0516,0.025,2,1,-1,True,False
E_10038,32551,2,2,4.9376,2.2032,0.74251,0.273,3,1,0,True,False
E_10039,12394,2,6,7.727,0.5373,0.9189,7.968,2,1,-1,True,True
E_10040,70092,2,4,6.8646,3.2077,0.28724,0.209,3,1,0,True,False
E_10041,4890,2,1,4.5144,1.088,0.85976,0.175,2,0,0,True,False
E_10042,42606,2,2,2.8089,3.1017,0.2993,0.137,2,1,-1,True,False
E_10043,97276,2,6,9.9715,3.2545,0.91166,1.011,2,1,-1,True,True
E_10044,81038,2,6,4.3192,0.7686,0.75642,8.203,3,1,0,True,True
E_10045,88313,2,3,4.5687,0.3161,0.80686,5.028,2,0,0,True,True
E_10046,11627,3,4,1.7199,3.906,0.02783,0.066,3,1,-1,True,False
E_10047,9792,2,1,7.9686,2.3044,0.96318,0.052,2,0,0,True,False
E_10048,74969,2,5,6.9675,0.3002,0.7294,8.718,2,0,0,True,True
E_10049,44001,4,3,2.2856,4.9744,0.3117,0.247,4,0,0,True,False
E_10050,77552,2,2,0.9156,0.2983,0.8311,12.172,2,1,-1,True,True
E_10051,24897,2,2,6.8369,3.4782,0.28871,0.049,2,1,-1,True,False
E_10052,69148,2,3,6.5797,4.9186,0.87403,0.243,2,0,0,True,False
E_10053,24483,2,6,2.8053,1.2035,0.12145,1.295,3,1,0,True,True
E_10054,49555,3,2,9.5135,0.7198,0.70665,0.413,4,1,0,True,False
E_10055,18159,2,4,1.5955,0.6157,0.54529,8.881,3,1,0,True,True
E_10056,81077,2,1,4.3801,1.5233,0.10557,0.016,3,0,1,True,False
E_10057,36920,2,4,9.4418,0.5142,0.24947,0.822,2,1,-1,True,False
E_10058,93067,3,2,4.2553,3.4639,0.02228,0.006,5,1,1,True,False
E_10059,68121,2,5,6.4214,0.3208,0.47408,5.753,2,0,0,True,True
E_10060,70479,2,1,4.0362,2.552,0.30825,0.03,2,0,0,True,False
E_10061,90475,2,1,2.8147,4.9835,0.60237,0.043,2,0,0,True,False
E_10062,20457,3,3,9.8414,4.0717,0.30427,0.068,3,0,0,True,False
E_10063,67557,2,3,4.1524,3.0799,0.30692,0.216,2,0,0,True,False
E_10064,78189,2,5,8.9516,1.5382,0.74576,1.354,2,0,0,True,True
E_10065,79953,2,6,2.3766,3.1232,0.05766,0.28,5,1,2,True,False
E_10066,53995,2,1,2.2097,2.6399,0.90387,0.155,2,0,0,True,False
E_10067,41757,2,5,0.4082,2.1362,0.85374,24.477,2,0,0,True,True
E_10068,10692,2,3,6.5515,0.6622,0.67113,1.392,3,0,1,True,True
E_10069,46758,2,3,3.7484,4.4342,0.59729,0.323,2,0,0,True,False
E_10070,73409,2,1,8.6571,2.2544,0.89338,0.046,2,0,0,True,False
E_10071,72211,4,4,4.7848,0.9812,0.19348,0.659,4,1,-1,True,False
E_10072,66697,3,2,9.6851,1.8451,0.08818,0.02,3,1,-1,True,False
E_10073,38065,2,3,1.9367,2.0765,0.24712,0.553,2,0,0,True,False
E_10074,93093,4,6,8.6994,4.1394,0.79663,0.796,4,1,-1,True,False
E_10075,33606,2,6,7.7883,3.6707,0.04432,0.056,3,1,0,True,False
E_10076,12534,2,3,7.7321,3.8488,0.58698,0.178,4,0,2,True,False
E_10077,95663,2,4,8.4634,0.065,0.99548,28.953,3,1,0,True,True
E_10078,41397,2,4,7.6341,2.0866,0.85714,0.861,4,1,1,True,False
E_10079,92387,2,5,6.2996,2.4119,0.52623,0.866,2,0,0,True,False
E_10080,2016,2,6,1.3993,0.1058,0.073,17.751,2,1,-1,True,True
E_10081,90789,2,5,0.422,1.3065,0.83306,37.774,2,0,0,True,True
E_10082,56591,2,6,9.2164,3.8038,0.60299,0.619,3,1,0,True,False
E_10083,90812,3,2,6.2048,0.6942,0.12378,0.115,3,1,-1,True,False
E_10084,24247,3,2,7.9857,2.6812,0.10292,0.019,3,1,-1,True,False
E_10085,25300,2,1,4.8671,1.0839,0.91053,0.173,2,0,0,True,False
E_10086,75065,3,5,1.2614,0.0705,0.67251,189.059,4,0,1,True,True
E_10087,83798,4,3,1.3393,1.2136,0.83099,4.601,4,0,0,True,True
E_10088,10268,4,5,6.8871,4.8796,0.88019,0.655,4,0,0,True,False
E_10089,87807,2,3,4.36,4.0097,0.57605,0.297,4,0,2,True,False
E_10090,13185,3,4,2.0852,4.7983,0.52227,0.835,3,1,-1,True,False
E_10091,64704,2,5,4.9668,2.4444,0.43612,0.898,2,0,0,True,False
E_10092,87779,3,4,0.7357,0.5576,0.32378,12.628,4,1,0,True,True
E_10093,40099,4,2,5.8615,2.7443,0.44025,0.109,4,1,-1,True,False
E_10094,9571,2,2,2.763,2.2773,0.77614,0.493,2,1,-1,True,False
E_10095,39044,3,1,7.9958,4.2233,0.6059,0.018,4,0,1,True,False
E_10096,52214,3,5,3.1726,0.4994,0.8936,14.1,3,0,0,True,True
E_10097,62228,3,4,4.6067,2.4463,0.44895,0.637,4,1,0,True,False
